"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0113",6191541.14401582,3345122.53717718,2794798.81823182,1328242622.26836,645566662.607559,1539825437.17691,699873629.339334,302030346.027482,110873297.179842,13348045.6137986,9692979.56286711,28547440.8604804
"Feature0114",7213492.19480225,185499.673113953,45092.0275402365,227152.729620857,273800.27431668,437840.19475235,179157.761623858,1513554.84258891,128338.175676909,143649.113867179,299329257.06667,406395061.545046
"Feature0115",6618842.32785589,191703278.555734,221192166.93309,725580921.57542,743401168.997198,4624271.64240455,383002355.543867,33597285.5364372,706338168.462492,3184764.08669108,1245652.3488919,660578.009714078
"Feature0116",4171700.0524661,1930028.02520391,1991144.04969153,175140389.278159,364638409.78961,318870276.238561,268000306.599978,1375021.11042574,708460295.525106,2000102.14760313,2354885.90777745,3507688.50124946
"Feature0117",370753811.255762,141284957.066368,161696678.636076,602022037.716223,726194288.280933,55044182.3697807,272656903.875107,235831696.435511,716649732.377316,41819113.7689585,628351.467461122,327665.973474107
"Feature0118",24898657.6396485,229800514.194319,251299069.574936,23216015.591846,26168658.2041822,1299835.83901689,22360842.236032,34543815.9156128,19416220.9824492,246315647.676299,1582824.38926326,774972.459253972
"Feature0119",19364895.9759556,118859518.789501,128250958.861883,1379719331.43332,1690013611.17383,110289519.702494,1192745343.89409,780387607.07876,42827291.44527,247004931.278105,15346305.1075757,10257111.304467
"Feature0120",21032002.6505375,119092229.152508,130488288.7768,1379719331.43332,1690013611.17383,121278410.178533,1192745343.89409,780387607.07876,762825967.639189,247004931.278105,16841410.3211007,10615051.87844
"Feature0121",314595041.974898,12257815.4041443,582200.749783005,79597696.8773174,68229193.702385,1910246610.37786,64862554.2881352,40436260.8413114,45002336.8350905,10133543.8406193,323652917.57443,413903665.352028
"Feature0122",160916.16655869,61190.6465816651,58163.5783090559,1045703319.45235,1684354601.03077,1930381991.13141,363418215.040303,3629876.1464772,69680519.0891514,113601.148516927,55132.9141590795,75955.5280074288
"Feature0123",362014.981949317,652218.83535636,130537.590021367,704062.432173253,1005852.7288921,789362.34035007,1174892.8282623,10642995.7970467,377269.553871143,273426087.313728,333852170.377926,526817404.192401
